1,samnang,male,11-66-4444,1255555625,cs,2,navid.samnang@gmail.com
2,navid,male,11-05-2006,012245632,tn,2,navid.chetha
3,Sophia Jones,Female,23-02-2005,037772662,Digital Business,1,sophia.jones@student.cadt.edu.kh
4,Chan Chea,Female,22-04-2005,081861689,Digital Business,1,chan.chea@student.cadt.edu.kh
5,Srey San,Female,12-06-2005,024751542,Telecommunication and Networking,1,srey.san@student.cadt.edu.kh
6,Ava Brown,Male,13-10-2005,089784696,Telecommunication and Networking,1,ava.brown@student.cadt.edu.kh
7,Chanda Kim,Female,02-04-2005,077559493,Telecommunication and Networking,1,chanda.kim@student.cadt.edu.kh
8,Bopha Chea,Male,30-04-2005,037275384,Telecommunication and Networking,1,bopha.chea@student.cadt.edu.kh
9,Bopha Ly,Male,18-03-2006,054752121,Telecommunication and Networking,1,bopha.ly@student.cadt.edu.kh
10,David Davis,Male,23-08-2005,089349199,Telecommunication and Networking,1,david.davis@student.cadt.edu.kh
11,Raksmey Pheng,Male,25-03-2006,014895555,Telecommunication and Networking,1,raksmey.pheng@student.cadt.edu.kh
12,Olivia Davis,Female,11-04-2005,077669173,Telecommunication and Networking,1,olivia.davis@student.cadt.edu.kh
13,Sophia Williams,Female,22-06-2005,068687714,Digital Business,1,sophia.williams@student.cadt.edu.kh
14,William Taylor,Female,31-10-2005,025914664,Digital Business,1,william.taylor@student.cadt.edu.kh
15,Michael Miller,Female,27-05-2005,089747292,Digital Business,1,michael.miller@student.cadt.edu.kh
16,Ava Smith,Male,03-06-2005,094161327,Digital Business,1,ava.smith@student.cadt.edu.kh
17,Chan Chea,Male,10-08-2006,025971398,Computer Science,1,chan.chea@student.cadt.edu.kh
18,Vann Chea,Male,23-03-2006,032234675,Digital Business,1,vann.chea@student.cadt.edu.kh
19,Ava Williams,Female,07-01-2005,058394168,Telecommunication and Networking,1,ava.williams@student.cadt.edu.kh
20,Mony Pheng,Male,01-06-2005,091551372,Telecommunication and Networking,1,mony.pheng@student.cadt.edu.kh
21,Visal Nhim,Male,28-08-2006,043223436,Telecommunication and Networking,1,visal.nhim@student.cadt.edu.kh
22,David Jones,Male,26-05-2005,087264915,Computer Science,1,david.jones@student.cadt.edu.kh
23,Mony Chea,Female,18-07-2006,068147511,Computer Science,1,mony.chea@student.cadt.edu.kh
24,Sok Nhim,Male,02-01-2005,023681945,Telecommunication and Networking,1,sok.nhim@student.cadt.edu.kh
25,Bopha Kim,Male,18-07-2005,094334629,Digital Business,1,bopha.kim@student.cadt.edu.kh
26,Mony San,Male,26-01-2005,046944773,Digital Business,1,mony.san@student.cadt.edu.kh
27,Srey Kim,Male,11-12-2005,034464474,Computer Science,1,srey.kim@student.cadt.edu.kh
28,James Johnson,Female,14-04-2005,041257367,Computer Science,1,james.johnson@student.cadt.edu.kh
29,John Wilson,Female,25-01-2006,084631988,Digital Business,1,john.wilson@student.cadt.edu.kh
30,James Brown,Female,02-11-2006,048514417,Telecommunication and Networking,1,james.brown@student.cadt.edu.kh
31,John Jones,Male,28-10-2006,097959272,Telecommunication and Networking,1,john.jones@student.cadt.edu.kh
